Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
German Credit,contextual_errors,medium,automated_cleaning,IQR clipping,0.007647000020369887,800,800,0.0,0.3914277553558347,0.39907475537620457
German Credit,contextual_errors,high,automated_cleaning,IQR clipping,0.007468199997674674,800,800,0.0,0.3889489173889158,0.39641711738659047
German Credit,data_heterogeneity,low,automated_cleaning,re-standardise features,0.0021766000136267394,800,800,0.0,0.4293081760406489,0.43148477605427565
German Credit,data_heterogeneity,medium,automated_cleaning,re-standardise features,0.0020625999895855784,800,800,0.0,0.4518539905548092,0.45391659054439476
German Credit,data_heterogeneity,high,automated_cleaning,re-standardise features,0.0021072999807074666,800,800,0.0,0.4216990470886226,0.42380634706933007
German Credit,data_inconsistency,low,automated_cleaning,consistency rules,0.012463399994885549,800,800,0.0,0.4397392272949215,0.45220262728980704
German Credit,data_inconsistency,medium,automated_cleaning,consistency rules,0.012168599991127849,800,800,0.0,0.4383327960968014,0.4505013960879293
German Credit,data_inconsistency,high,automated_cleaning,consistency rules,0.012295799999265,800,800,0.0,0.4257106781005856,0.4380064780998506
German Credit,data_leakage,low,automated_cleaning,drop features with |corr| > 0.5,0.000610999995842576,800,800,0.0,0.4395871162414547,0.44019811623729727
German Credit,data_leakage,medium,automated_cleaning,drop features with |corr| > 0.5,0.0009278999932575971,800,800,0.0,0.4429597854614254,0.443887685454683
German Credit,data_leakage,high,automated_cleaning,drop features with |corr| > 0.5,0.0008251999970525503,800,800,0.0,0.4343931674957271,0.43521836749277965
German Credit,domain_violations,low,automated_cleaning,IQR clipping,0.006711399997584522,800,800,0.0,0.3948552608489985,0.40156666084658305
German Credit,domain_violations,medium,automated_cleaning,IQR clipping,0.006823299976531416,800,800,0.0,0.3949403762817379,0.4017636762582693
German Credit,domain_violations,high,automated_cleaning,IQR clipping,0.007130499987397343,800,800,0.0,0.40125298500061,0.40838348498800736
German Credit,duplicates,low,automated_cleaning,drop exact duplicates,0.002442900004098192,840,800,-4.761904761904762,0.4335470199584958,0.435989919962594
German Credit,duplicates,medium,automated_cleaning,drop exact duplicates,0.002378799981670454,880,800,-9.090909090909092,0.4288682937622066,0.43124709374387704
German Credit,duplicates,high,automated_cleaning,drop exact duplicates,0.0021610000112559646,920,800,-13.043478260869565,0.4710943698883052,0.4732553698995612
German Credit,duplicates_minority,low,automated_cleaning,drop exact duplicates,0.002209500002209097,840,800,-4.761904761904762,0.4854054450988766,0.4876149451010857
German Credit,duplicates_minority,medium,automated_cleaning,drop exact duplicates,0.0021548000222537667,880,800,-9.090909090909092,0.436714172363281,0.43886897238553474
German Credit,duplicates_minority,high,automated_cleaning,drop exact duplicates,0.002232200000435114,920,800,-13.043478260869565,0.4443244934082028,0.4465566934086379
German Credit,duplicates_targeted,low,automated_cleaning,drop exact duplicates,0.0019733999797608703,840,800,-4.761904761904762,0.4265239238739011,0.42849732385366196
German Credit,duplicates_targeted,medium,automated_cleaning,drop exact duplicates,0.0021206999954301864,880,800,-9.090909090909092,0.42076325416564897,0.42288395416107916
German Credit,duplicates_targeted,high,automated_cleaning,drop exact duplicates,0.0024258999910671264,920,800,-13.043478260869565,0.4541931152343746,0.45661901522544174
German Credit,feature_noise,low,automated_cleaning,shrink toward median,0.0050891999853774905,800,800,0.0,0.4804384708404538,0.4855276708258313
German Credit,feature_noise,medium,automated_cleaning,shrink toward median,0.004816499975277111,800,800,0.0,0.45721411705017057,0.4620306170254477
German Credit,feature_noise,high,automated_cleaning,shrink toward median,0.004603700013831258,800,800,0.0,0.46048045158386186,0.4650841515976931
German Credit,feature_noise_targeted,low,automated_cleaning,shrink toward median,0.0024240000057034194,800,800,0.0,0.472516298294067,0.4749402982997704
German Credit,feature_noise_targeted,medium,automated_cleaning,shrink toward median,0.00232910001068376,800,800,0.0,0.4486098289489743,0.45093892895965804
German Credit,feature_noise_targeted,high,automated_cleaning,shrink toward median,0.0022170000011101365,800,800,0.0,0.4339356422424312,0.43615264224354133
German Credit,imbalanced_feature_distribution,low,automated_cleaning,quantile transform,0.00748359999852255,800,800,0.0,0.4544794559478756,0.46196305594639814
