Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values,medium,MLP,cleaned,0.973684211,0.975609756,0.952380952,0.963855422,0.994047619,0.137334347,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,medium,Decision Tree,cleaned,0.912280702,0.921052632,0.833333333,0.875,0.895833333,0.00489378,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,medium,Random Forest,cleaned,0.973684211,1,0.928571429,0.962962963,0.997189153,0.089455843,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,medium,XGBoost,cleaned,0.98245614,1,0.952380952,0.975609756,0.994708995,0.05660224,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,medium,LightGBM,cleaned,0.98245614,1,0.952380952,0.975609756,0.996362434,0.028322458,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,Logistic Regression,dirty,0.98245614,1,0.952380952,0.975609756,0.997685185,0.004865408,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,Gaussian Naive Bayes,dirty,0.921052632,0.923076923,0.857142857,0.888888889,0.989087302,0.00097537,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,KNN,dirty,0.973684211,1,0.928571429,0.962962963,0.986276455,0.001000404,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,MLP,dirty,0.98245614,1,0.952380952,0.975609756,0.99537037,0.13838315,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,Decision Tree,dirty,0.885964912,0.853658537,0.833333333,0.843373494,0.875,0.003930569,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,Random Forest,dirty,0.947368421,0.95,0.904761905,0.926829268,0.991402116,0.093798399,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,XGBoost,dirty,0.973684211,1,0.928571429,0.962962963,0.998346561,0.055216074,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,LightGBM,dirty,0.973684211,1,0.928571429,0.962962963,0.99537037,0.027342319,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1}"
Breast Cancer,missing_values,high,Logistic Regression,cleaned,0.973684211,0.975609756,0.952380952,0.963855422,0.996362434,0.00488162,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,Gaussian Naive Bayes,cleaned,0.929824561,0.947368421,0.857142857,0.9,0.989417989,0.000976801,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,KNN,cleaned,0.938596491,0.972972973,0.857142857,0.911392405,0.982969577,0.000975847,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,MLP,cleaned,0.973684211,0.975609756,0.952380952,0.963855422,0.99537037,0.138349295,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,Decision Tree,cleaned,0.947368421,0.928571429,0.928571429,0.928571429,0.943452381,0.003914595,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,Random Forest,cleaned,0.964912281,1,0.904761905,0.95,0.995701058,0.107075214,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,XGBoost,cleaned,0.99122807,1,0.976190476,0.987951807,0.999338624,0.06215024,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,high,LightGBM,cleaned,0.98245614,1,0.952380952,0.975609756,0.995039683,0.028315544,455,30,"{'error_type': 'missing_values', 'intended_rate': 30, 'actual_rate': np.float64(25.853479853479854), 'cells_corrupted': 4095, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,label_noise,low,Logistic Regression,dirty,0.964912281,1,0.904761905,0.95,0.995701058,0.008361816,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,low,Gaussian Naive Bayes,dirty,0.921052632,0.923076923,0.857142857,0.888888889,0.989087302,0.000994682,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,low,KNN,dirty,0.947368421,0.973684211,0.880952381,0.925,0.988756614,0,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,low,MLP,dirty,0.956140351,0.951219512,0.928571429,0.939759036,0.983796296,0.147835493,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,low,Decision Tree,dirty,0.859649123,0.770833333,0.880952381,0.822222222,0.863260582,0.004881859,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,low,Random Forest,dirty,0.964912281,1,0.904761905,0.95,0.992724868,0.096829891,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,low,XGBoost,dirty,0.947368421,0.95,0.904761905,0.926829268,0.980489418,0.081584454,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
