Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata,Random_State
Bank Marketing,data_heterogeneity,high,Gaussian Naive Bayes,dirty,0.8408713922370895,0.2535575679172057,0.18525519848771266,0.21409066084107045,0.7140029805412558,0.5564973550359665,0.23146406428039282,0.016199111938476562,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,KNN,dirty,0.8862103284308305,0.5622317596566524,0.12381852551984877,0.2029434546862897,0.6552902831750932,0.5555222871807134,0.24734432997073436,0.004884243011474609,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,MLP,dirty,0.8844410040915626,0.782608695652174,0.017013232514177693,0.03330249768732655,0.8526850320721864,0.5081935292188923,0.4611177802652326,13.943166017532349,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,Decision Tree,dirty,0.8847727524051753,0.5909090909090909,0.04914933837429111,0.09075043630017451,0.5836617097511521,0.5223204425121298,0.20985175178715695,0.11303162574768066,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,Random Forest,dirty,0.8839986730067455,0.9090909090909091,0.00945179584120983,0.018709073900841908,0.7972995799070326,0.5046632805129656,0.4283337095250533,0.3512306213378906,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,XGBoost,dirty,0.8838880902355413,0.8333333333333334,0.00945179584120983,0.018691588785046728,0.8567071647808449,0.5046006631053263,0.44543889221961974,0.12550139427185059,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,LightGBM,dirty,0.883777507464337,0.8888888888888888,0.007561436672967864,0.01499531396438613,0.8608512179618448,0.5037181009288446,0.46173373135035173,0.11789608001708984,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,Logistic Regression,dirty,0.7903340440653873,0.6561264822134387,0.44385026737967914,0.529505582137161,0.829336442840799,0.6798147755097814,0.6244875381435082,0.01670098304748535,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,Gaussian Naive Bayes,dirty,0.7249466950959488,0.4886164623467601,0.7459893048128342,0.5904761904761905,0.8117251036646287,0.7316587375951877,0.5765598956922241,0.003923177719116211,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,KNN,dirty,0.7270788912579957,0.48868778280542985,0.5775401069518716,0.5294117647058824,0.7534334863928851,0.6793799276288883,0.461491489937606,0.0019500255584716797,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
