Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
Breast Cancer,redundant_features,low,automated_cleaning,drop correlated features,0.002227399992989376,455,455,0.0,0.3411250114440914,0.3433524114370808
Breast Cancer,redundant_features,medium,automated_cleaning,drop correlated features,0.00231869998970069,455,455,0.0,0.38380527496337863,0.3861239749530793
Breast Cancer,redundant_features,high,automated_cleaning,drop correlated features,0.0025556999898981303,455,455,0.0,0.3391423225402828,0.34169802253018094
Breast Cancer,typographical_errors,low,automated_cleaning,fuzzy match to known categories,0.0007387000077869743,455,455,0.0,0.3204348087310788,0.3211735087388658
Breast Cancer,typographical_errors,medium,automated_cleaning,fuzzy match to known categories,0.0008018999942578375,455,455,0.0,0.321930885314941,0.32273278530919886
Breast Cancer,typographical_errors,high,automated_cleaning,fuzzy match to known categories,0.000721300020813942,455,455,0.0,0.3354949951171872,0.33621629513800116
German Credit,categorical_errors,low,automated_cleaning,validate against vocabulary,0.005666699988069013,800,800,0.0,0.4756252765655514,0.48129197655362044
German Credit,categorical_errors,medium,automated_cleaning,validate against vocabulary,0.0058957000146619976,800,800,0.0,0.42091536521911593,0.42681106523377793
German Credit,categorical_errors,high,automated_cleaning,validate against vocabulary,0.006336599995847791,800,800,0.0,0.4768159389495846,0.48315253894543236
German Credit,class_imbalance,low,automated_cleaning,oversample minority,0.0009785000002011657,776,1120,44.329896907216494,0.5481259822845456,0.5491044822847467
German Credit,class_imbalance,medium,automated_cleaning,oversample minority,0.0008106000022962689,740,1120,51.35135135135135,0.5253586769104,0.5261692769126962
German Credit,class_imbalance,high,automated_cleaning,oversample minority,0.0008212999964598566,704,1120,59.09090909090909,0.5226716995239253,0.5234929995203852
German Credit,contextual_errors,low,automated_cleaning,IQR clipping,0.0058991999831050634,800,800,0.0,0.39240550994873,0.3983047099318351
German Credit,contextual_errors,medium,automated_cleaning,IQR clipping,0.006580200017197058,800,800,0.0,0.3914277553558347,0.39800795537303174
German Credit,contextual_errors,high,automated_cleaning,IQR clipping,0.006813999993028119,800,800,0.0,0.3889489173889158,0.3957629173819439
German Credit,data_heterogeneity,low,automated_cleaning,re-standardise features,0.0018490999937057495,800,800,0.0,0.4293081760406489,0.43115727603435466
German Credit,data_heterogeneity,medium,automated_cleaning,re-standardise features,0.0018907000194303691,800,800,0.0,0.4518539905548092,0.45374469057423955
German Credit,data_heterogeneity,high,automated_cleaning,re-standardise features,0.0019087000109720975,800,800,0.0,0.4216990470886226,0.4236077470995947
