Dataset,Error_Type,Severity,Model,Dirty_Accuracy,Clean_Accuracy,Cleaned_Accuracy,Damage_pp,Improvement_pp,Route,Family
Breast Cancer,label_noise_asymmetric,high,Random Forest,0.8157894736842105,0.9736842105263158,,15.789473684210531,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,high,XGBoost,0.8070175438596491,0.9649122807017544,,15.789473684210531,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,low,Decision Tree,0.8947368421052632,0.9298245614035088,,3.508771929824561,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,low,Gaussian Naive Bayes,0.9385964912280702,0.9210526315789472,,-1.7543859649122973,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,low,KNN,0.9298245614035088,0.956140350877193,,2.631578947368418,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,low,LightGBM,0.956140350877193,0.9736842105263158,,1.7543859649122862,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,low,Logistic Regression,0.9385964912280702,0.9649122807017544,,2.631578947368418,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,low,MLP,0.9736842105263158,0.9649122807017544,,-0.8771929824561431,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,low,Random Forest,0.9473684210526316,0.9736842105263158,,2.631578947368418,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,low,XGBoost,0.9385964912280702,0.9649122807017544,,2.631578947368418,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,medium,Decision Tree,0.8245614035087719,0.9298245614035088,,10.526315789473683,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,medium,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,,0.0,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,medium,KNN,0.868421052631579,0.956140350877193,,8.771929824561397,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,medium,LightGBM,0.9035087719298246,0.9736842105263158,,7.017543859649122,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,medium,Logistic Regression,0.8245614035087719,0.9649122807017544,,14.035087719298245,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,medium,MLP,0.9035087719298246,0.9649122807017544,,6.140350877192979,,external_intervention,non-tree
Breast Cancer,label_noise_asymmetric,medium,Random Forest,0.9210526315789472,0.9736842105263158,,5.2631578947368585,,external_intervention,tree
Breast Cancer,label_noise_asymmetric,medium,XGBoost,0.8947368421052632,0.9649122807017544,,7.017543859649122,,external_intervention,tree
Breast Cancer,missing_values,high,Decision Tree,0.8859649122807017,0.9298245614035088,0.9473684210526316,4.385964912280704,6.14035087719299,automated_cleaning,tree
Breast Cancer,missing_values,high,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,0.9298245614035088,0.0,0.8771929824561542,automated_cleaning,non-tree
Breast Cancer,missing_values,high,KNN,0.9736842105263158,0.956140350877193,0.9385964912280702,-1.7543859649122862,-3.508771929824561,automated_cleaning,non-tree
Breast Cancer,missing_values,high,LightGBM,0.9736842105263158,0.9736842105263158,0.9824561403508772,0.0,0.8771929824561431,automated_cleaning,tree
Breast Cancer,missing_values,high,Logistic Regression,0.9824561403508772,0.9649122807017544,0.9736842105263158,-1.7543859649122862,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values,high,MLP,0.9824561403508772,0.9649122807017544,0.9736842105263158,-1.7543859649122862,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values,high,Random Forest,0.9473684210526316,0.9736842105263158,0.9649122807017544,2.631578947368418,1.754385964912275,automated_cleaning,tree
Breast Cancer,missing_values,high,XGBoost,0.9736842105263158,0.9649122807017544,0.9912280701754386,-0.8771929824561431,1.754385964912275,automated_cleaning,tree
Breast Cancer,missing_values,low,Decision Tree,0.9298245614035088,0.9298245614035088,0.9385964912280702,0.0,0.8771929824561431,automated_cleaning,tree
Breast Cancer,missing_values,low,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values,low,KNN,0.956140350877193,0.956140350877193,0.956140350877193,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values,low,LightGBM,0.9824561403508772,0.9736842105263158,0.9736842105263158,-0.8771929824561431,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,missing_values,low,Logistic Regression,0.9824561403508772,0.9649122807017544,0.9736842105263158,-1.7543859649122862,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values,low,MLP,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values,low,Random Forest,0.9649122807017544,0.9736842105263158,0.9736842105263158,0.8771929824561431,0.8771929824561431,automated_cleaning,tree
